date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_confidence_mean,latest_event_type,latest_event_title
2025-09-10,000630,1,1,1,0,0,0.2,0.63,commodity_shock,关于提前赎回铜陵定02的第三次提示性公告
2025-09-11,000630,2,2,2,0,0,0.2,0.63,commodity_shock,关于提前赎回铜陵定02的第四次提示性公告
2025-09-12,000630,3,3,3,0,0,0.2,0.63,commodity_shock,关于提前赎回铜陵定02的第五次提示性公告
2025-09-15,000630,5,5,4,0,0,0.14214931714387286,0.574,general_news,关于可转换公司债券2025年付息公告
2025-09-16,000630,6,7,5,0,0,0.12527929817293013,0.5499999999999999,commodity_shock,关于提前赎回铜陵定02的第七次提示性公告
2025-09-17,000630,6,8,6,0,0,0.13929360297762808,0.56,commodity_shock,关于提前赎回铜陵定02的第八次提示性公告
2025-09-18,000630,6,9,7,0,0,0.15009166396283458,0.5677777777777778,commodity_shock,关于提前赎回铜陵定02的第九次提示性公告
2025-09-19,000630,6,10,8,0,0,0.1585887777781055,0.5740000000000001,commodity_shock,关于提前赎回铜陵定02的第十次提示性公告
2025-09-22,000630,5,12,9,0,0,0.1420654928746446,0.5599999999999999,commodity_shock,关于提前赎回铜陵定02的第十一次提示性公告
2025-09-23,000630,6,14,11,0,0,0.19733450419137974,0.57,commodity_shock,关于提前赎回铜陵定02的第十二次提示性公告
2025-09-24,000630,8,17,12,0,0,0.13531005368508345,0.5641176470588236,shareholder_change,关于控股股东因可转债转股持股比例被动稀释触及1%整数倍的公告
2025-09-25,000630,8,18,13,0,0,0.14285384871398454,0.5677777777777779,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告
2025-09-26,000630,7,19,14,0,0,0.14962978017010542,0.5710526315789476,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转让的重要提示性公告
2025-09-29,000630,16,30,15,0,0,0.04138787258482568,0.5180000000000001,shareholder_change,关于召开2025年第二次临时股东大会通知的公告
2025-09-30,000630,14,31,16,0,0,0.051903910177473186,0.5216129032258066,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-01,000630,13,31,16,0,0,0.05190391017747318,0.5216129032258066,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-02,000630,12,31,16,0,0,0.05190391017747318,0.5216129032258066,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-03,000630,11,31,16,0,0,0.051903910177473166,0.5216129032258066,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-06,000630,0,31,16,0,0,0.05190391017747318,0.5216129032258066,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-07,000630,0,31,16,0,0,0.05190391017747319,0.5216129032258066,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-08,000630,0,31,16,0,0,0.051903910177473214,0.5216129032258066,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-09,000630,1,32,17,0,0,0.08055080675797514,0.5249999999999999,commodity_shock,关于提前赎回铜陵定02实施暨即将停止转股的重要提示性公告
2025-10-10,000630,5,36,19,0,0,0.08972332596416777,0.521111111111111,commodity_shock,关于铜陵定02即将停止转股暨赎回前最后半个交易日的重要提示性公告
2025-10-13,000630,5,33,16,0,0,0.0890962445450833,0.5112121212121211,commodity_shock,关于铜陵定02即将停止转股暨赎回前最后半个交易日的重要提示性公告
2025-10-14,000630,5,32,15,0,0,0.08881770335776126,0.5075,commodity_shock,关于铜陵定02即将停止转股暨赎回前最后半个交易日的重要提示性公告
2025-10-15,000630,4,32,15,0,0,0.08881770335776124,0.5075,commodity_shock,关于铜陵定02即将停止转股暨赎回前最后半个交易日的重要提示性公告
2025-10-16,000630,2,33,15,0,0,0.003072909630862248,0.5196969696969695,shareholder_change,安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2025年第二次临时股东大会的法律意见书
2025-10-17,000630,4,33,16,0,0,0.06070075244643812,0.5281818181818181,commodity_shock,关于铜陵定02赎回结果的公告
2025-10-20,000630,4,30,13,0,0,0.059710534982467575,0.5180000000000001,commodity_shock,关于铜陵定02赎回结果的公告
2025-10-21,000630,4,28,12,0,0,0.05945658649770671,0.5200000000000001,commodity_shock,关于铜陵定02赎回结果的公告
2025-10-22,000630,2,28,12,0,0,0.0594565864977067,0.5200000000000001,commodity_shock,关于铜陵定02赎回结果的公告
2025-10-23,000630,0,28,12,0,0,0.059456586497706694,0.5200000000000001,commodity_shock,关于铜陵定02赎回结果的公告
2025-10-24,000630,0,26,10,0,0,0.05686217769237859,0.5115384615384616,commodity_shock,关于铜陵定02赎回结果的公告
2025-10-27,000630,0,21,7,0,0,0.055495612084626625,0.4966666666666666,commodity_shock,关于铜陵定02赎回结果的公告
2025-10-28,000630,7,27,6,0,0,0.008623999068156814,0.45370370370370366,general_news,关于独立董事无法履职的提示性公告
2025-10-29,000630,7,27,6,0,0,0.008623999068156816,0.45370370370370366,general_news,关于独立董事无法履职的提示性公告
2025-10-30,000630,7,17,6,0,0,0.009374982420860692,0.48176470588235293,general_news,关于独立董事无法履职的提示性公告
2025-10-31,000630,7,16,5,0,0,0.008946463283008892,0.4725,general_news,2025年三季度报告
2025-11-03,000630,0,16,5,0,0,0.008946463283008894,0.4725,general_news,2025年三季度报告
2025-11-04,000630,0,16,5,0,0,0.00894646328300889,0.4725,general_news,2025年三季度报告
2025-11-05,000630,0,16,5,0,0,0.00894646328300889,0.4725,general_news,2025年三季度报告
2025-11-06,000630,1,17,6,0,0,0.06768807525189802,0.48176470588235304,commodity_shock,关于竞拍取得安徽省铜陵市鸡冠山—胡村铜金钼矿勘查探矿权的公告
2025-11-07,000630,1,17,6,0,0,0.06768807525189802,0.48176470588235304,commodity_shock,关于竞拍取得安徽省铜陵市鸡冠山—胡村铜金钼矿勘查探矿权的公告
2025-11-10,000630,1,12,3,0,0,0.0660516320591173,0.4666666666666666,commodity_shock,关于竞拍取得安徽省铜陵市鸡冠山—胡村铜金钼矿勘查探矿权的公告
2025-11-11,000630,1,12,3,0,0,0.06605163205911731,0.4666666666666666,commodity_shock,关于竞拍取得安徽省铜陵市鸡冠山—胡村铜金钼矿勘查探矿权的公告
2025-11-12,000630,0,12,3,0,0,0.0660516320591173,0.4666666666666666,commodity_shock,关于竞拍取得安徽省铜陵市鸡冠山—胡村铜金钼矿勘查探矿权的公告
2025-11-13,000630,0,12,3,0,0,0.06605163205911728,0.4666666666666666,commodity_shock,关于竞拍取得安徽省铜陵市鸡冠山—胡村铜金钼矿勘查探矿权的公告
